"source","link","target","status"
"docs/admin-operations-control-map.html","qa-test-order-execution-brief.html","docs/qa-test-order-execution-brief.html","OK"
"docs/admin-operations-control-map.html","pm-global-project-state-map.html","docs/pm-global-project-state-map.html","OK"
"docs/admin-operations-control-map.html","backend-admin-readiness-map.html","docs/backend-admin-readiness-map.html","OK"
"docs/admin-operations-control-map.html","expert-agent-workspace-handoff.html","docs/expert-agent-workspace-handoff.html","OK"
"docs/admin-operations-control-map.html","support-refund-launch-control.html","docs/support-refund-launch-control.html","OK"
"docs/admin-operations-control-map.html","mvp-blocker-backlog.html","docs/mvp-blocker-backlog.html","OK"
"docs/admin-operations-control-map.html","pm-daily-operating-cycle.html","docs/pm-daily-operating-cycle.html","OK"
"docs/admin-operations-control-map.html","artifacts/ADMIN_OPERATIONS_CONTROL_MAP_2026_06_05.csv","docs/artifacts/ADMIN_OPERATIONS_CONTROL_MAP_2026_06_05.csv","OK"
"docs/admin-ops.html","../style.css","style.css","OK"
"docs/admin-ops.html","../index.html","index.html","OK"
"docs/admin-ops.html","igor-test-order-consultation-handoff.html","docs/igor-test-order-consultation-handoff.html","OK"
"docs/admin-ops.html","expert-agent-workspace-handoff.html","docs/expert-agent-workspace-handoff.html","OK"
"docs/admin-ops.html","paid-consultation-test-flow.html","docs/paid-consultation-test-flow.html","OK"
"docs/admin-ops.html","events.html","docs/events.html","OK"
"docs/admin-ops.html","expert-agent-workspace-readiness.html","docs/expert-agent-workspace-readiness.html","OK"
"docs/admin-ops.html","expert-quality-moderation.html","docs/expert-quality-moderation.html","OK"
"docs/admin-ops.html","support-refund-readiness.html","docs/support-refund-readiness.html","OK"
"docs/admin-ops.html","admin-chat-workspace-v2-handoff.html","docs/admin-chat-workspace-v2-handoff.html","OK"
"docs/admin-ops.html","first-sales-economics.html","docs/first-sales-economics.html","OK"
"docs/admin-ops.html","expert-agent-compensation.html","docs/expert-agent-compensation.html","OK"
"docs/admin-ops.html","launch-test-scenario.html","docs/launch-test-scenario.html","OK"
"docs/admin-ops.html","../assets/panel-ux.js","assets/panel-ux.js","OK"
"docs/alexey-master-plan.html","../index.html","index.html","OK"
"docs/alexey-master-plan.html","alexey-master-plan.html","docs/alexey-master-plan.html","OK"
"docs/alexey-master-plan.html","june-plan.html","docs/june-plan.html","OK"
"docs/alexey-master-plan.html","strategy-board.html","docs/strategy-board.html","OK"
"docs/alexey-master-plan.html","launch-readiness-master-control.html","docs/launch-readiness-master-control.html","OK"
"docs/alexey-master-plan.html","pm-current-state-proof-ledger.html","docs/pm-current-state-proof-ledger.html","OK"
"docs/alexey-master-plan.html","test-order-runtime-cockpit.html","docs/test-order-runtime-cockpit.html","OK"
"docs/alexey-master-plan.html","pm-source-gap-closure-summary.html","docs/pm-source-gap-closure-summary.html","OK"
"docs/alexey-master-plan.html","runtime-proof-first-sprint.html","docs/runtime-proof-first-sprint.html","OK"
"docs/alexey-master-plan.html","runtime-proof-contract.html","docs/runtime-proof-contract.html","OK"
"docs/alexey-master-plan.html","first-five-expert-admission-proof-contract.html","docs/first-five-expert-admission-proof-contract.html","OK"
"docs/alexey-master-plan.html","test-order-readiness-gate.html","docs/test-order-readiness-gate.html","OK"
"docs/alexey-master-plan.html","backend-admin-readiness-map.html","docs/backend-admin-readiness-map.html","OK"
"docs/alexey-master-plan.html","co2p-expert-agent-workspace-service-session.html","docs/co2p-expert-agent-workspace-service-session.html","OK"
"docs/alexey-master-plan.html","co2p-events-notifications-nosend-service-session.html","docs/co2p-events-notifications-nosend-service-session.html","OK"
"docs/alexey-master-plan.html","co2p-support-refund-service-session.html","docs/co2p-support-refund-service-session.html","OK"
"docs/alexey-master-plan.html","first-five-expert-admission-proof-contract.html","docs/first-five-expert-admission-proof-contract.html","OK"
"docs/alexey-master-plan.html","screen-backend-content-control.html","docs/screen-backend-content-control.html","OK"
"docs/alexey-master-plan.html","co2p-legal-checkout-public-docs.html","docs/co2p-legal-checkout-public-docs.html","OK"
"docs/alexey-master-plan.html","co2p-marketing-first-traffic-gonogo.html","docs/co2p-marketing-first-traffic-gonogo.html","OK"
"docs/alexey-master-plan.html","test-order-screen-contract.html","docs/test-order-screen-contract.html","OK"
"docs/alexey-master-plan.html","current-next-action-board.html","docs/current-next-action-board.html","OK"
"docs/alexey-master-plan.html","igor-trello-ready-test-order-task.html","docs/igor-trello-ready-test-order-task.html","OK"
"docs/alexey-master-plan.html","qa-trello-ready-test-order-task.html","docs/qa-trello-ready-test-order-task.html","OK"
"docs/alexey-master-plan.html","expert-school-v1-operational-pack.html","docs/expert-school-v1-operational-pack.html","OK"
"docs/alexey-master-plan.html","anton-oracle-nebula-design-fixes.html","docs/anton-oracle-nebula-design-fixes.html","OK"
"docs/alexey-master-plan.html","events-notifications-launch-control.html","docs/events-notifications-launch-control.html","OK"
"docs/alexey-master-plan.html","pm-current-state-proof-ledger.html","docs/pm-current-state-proof-ledger.html","OK"
"docs/alexey-master-plan.html","trello-june-fact-status.html","docs/trello-june-fact-status.html","OK"
"docs/alexey-master-plan.html","launch-layer-evidence-matrix.html","docs/launch-layer-evidence-matrix.html","OK"
"docs/alexey-master-plan.html","strategy-june-execution-map.html","docs/strategy-june-execution-map.html","OK"
"docs/alexey-master-plan.html","screen-backend-content-control.html","docs/screen-backend-content-control.html","OK"
"docs/alexey-master-plan.html","artifacts/ALEXEY_EXECUTIVE_STATUS_2026_06_05.csv","docs/artifacts/ALEXEY_EXECUTIVE_STATUS_2026_06_05.csv","OK"
"docs/alexey-master-plan.html","artifacts/ALEXEY_MASTER_PLAN_SHORT_2026_06_05.csv","docs/artifacts/ALEXEY_MASTER_PLAN_SHORT_2026_06_05.csv","OK"
"docs/anton-oracle-nebula-design-fixes.html","../style.css","style.css","OK"
"docs/anton-oracle-nebula-design-fixes.html","oracle-nebula-design-backend-content-qa.html#anton","docs/oracle-nebula-design-backend-content-qa.html","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","docs/artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","docs/artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","docs/artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","docs/artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","docs/artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","docs/artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","docs/artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","docs/artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","docs/artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","docs/artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_ORACLE_NEBULA_DESIGN_FIXES_2026_06_04.csv","docs/artifacts/ANTON_ORACLE_NEBULA_DESIGN_FIXES_2026_06_04.csv","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_ORACLE_NEBULA_DESIGN_FIXES_2026_06_04.md","docs/artifacts/ANTON_ORACLE_NEBULA_DESIGN_FIXES_2026_06_04.md","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","docs/artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","OK"
"docs/anton-oracle-nebula-design-fixes.html","artifacts/ANTON_SECOND_WAVE_DESIGN_FIXES_TEXT_2026_06_04.md","docs/artifacts/ANTON_SECOND_WAVE_DESIGN_FIXES_TEXT_2026_06_04.md","OK"
"docs/anton-oracle-nebula-design-fixes.html","nebula-design-function-content-crosswalk.html","docs/nebula-design-function-content-crosswalk.html","OK"
"docs/anton-oracle-nebula-design-fixes.html","trello-june-fact-status.html","docs/trello-june-fact-status.html","OK"
"docs/anton-oracle-nebula-design-fixes.html","../assets/panel-ux.js","assets/panel-ux.js","OK"
"docs/anton-paid-funnel-igor-qa-package.html","../style.css","style.css","OK"
"docs/anton-paid-funnel-igor-qa-package.html","red-blockers-owner-map.html","docs/red-blockers-owner-map.html","OK"
"docs/anton-paid-funnel-igor-qa-package.html","anton-oracle-nebula-design-fixes.html","docs/anton-oracle-nebula-design-fixes.html","OK"
"docs/anton-paid-funnel-igor-qa-package.html","oracle-nebula-design-backend-content-qa.html","docs/oracle-nebula-design-backend-content-qa.html","OK"
"docs/anton-paid-funnel-igor-qa-package.html","frontend-design-readiness-map.html","docs/frontend-design-readiness-map.html","OK"
"docs/anton-paid-funnel-igor-qa-package.html","paid-consultation-igor-qa-package.html","docs/paid-consultation-igor-qa-package.html","OK"
"docs/anton-paid-funnel-igor-qa-package.html","support-refund-igor-qa-package.html","docs/support-refund-igor-qa-package.html","OK"
"docs/anton-paid-funnel-igor-qa-package.html","artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","docs/artifacts/ANTON_FIRST_WAVE_MESSENGER_FUNCTIONALITY_2026_06_04.csv","OK"
"docs/anton-paid-funnel-igor-qa-package.html","artifacts/ANTON_SECOND_WAVE_DESIGN_FIXES_TEXT_2026_06_04.md","docs/artifacts/ANTON_SECOND_WAVE_DESIGN_FIXES_TEXT_2026_06_04.md","OK"
"docs/anton-paid-funnel-igor-qa-package.html","artifacts/ANTON_PAID_FUNNEL_PACKAGE_2026_06_04.csv","docs/artifacts/ANTON_PAID_FUNNEL_PACKAGE_2026_06_04.csv","OK"
"docs/anton-paid-funnel-igor-qa-package.html","../assets/panel-ux.js","assets/panel-ux.js","OK"
"docs/backend-admin-readiness-map.html","../style.css","style.css","OK"
"docs/backend-admin-readiness-map.html","mvp-readiness-control.html","docs/mvp-readiness-control.html","OK"
"docs/backend-admin-readiness-map.html","igor-test-order-consultation-handoff.html","docs/igor-test-order-consultation-handoff.html","OK"
"docs/backend-admin-readiness-map.html","expert-agent-workspace-handoff.html","docs/expert-agent-workspace-handoff.html","OK"
"docs/backend-admin-readiness-map.html","support-refund-handoff.html","docs/support-refund-handoff.html","OK"
"docs/backend-admin-readiness-map.html","launch-test-scenario.html","docs/launch-test-scenario.html","OK"
"docs/backend-admin-readiness-map.html","qa-evidence-runtime-gap-register.html","docs/qa-evidence-runtime-gap-register.html","OK"
"docs/backend-admin-readiness-map.html","igor-test-order-consultation-handoff.html","docs/igor-test-order-consultation-handoff.html","OK"
"docs/backend-admin-readiness-map.html","admin-ops.html","docs/admin-ops.html","OK"
"docs/backend-admin-readiness-map.html","expert-agent-workspace-handoff.html","docs/expert-agent-workspace-handoff.html","OK"
"docs/backend-admin-readiness-map.html","email-notifications-handoff.html","docs/email-notifications-handoff.html","OK"
"docs/backend-admin-readiness-map.html","support-refund-handoff.html","docs/support-refund-handoff.html","OK"
"docs/backend-admin-readiness-map.html","expert-agent-compensation-handoff.html","docs/expert-agent-compensation-handoff.html","OK"
"docs/backend-admin-readiness-map.html","legal-docs-readiness.html","docs/legal-docs-readiness.html","OK"
"docs/backend-admin-readiness-map.html","events.html","docs/events.html","OK"
"docs/backend-admin-readiness-map.html","artifacts/BACKEND_ADMIN_READINESS_MAP_2026_06_04.csv","docs/artifacts/BACKEND_ADMIN_READINESS_MAP_2026_06_04.csv","OK"
"docs/backend-admin-readiness-map.html","backend-frontend-proof-map.html","docs/backend-frontend-proof-map.html","OK"
"docs/backend-admin-readiness-map.html","current-state-evidence-map.html","docs/current-state-evidence-map.html","OK"
"docs/backend-admin-readiness-map.html","team-action-queue.html","docs/team-action-queue.html","OK"
"docs/backend-admin-readiness-map.html","backend-consultation-domain-gap-proof.html","docs/backend-consultation-domain-gap-proof.html","OK"
"docs/backend-admin-readiness-map.html","backend-admin-runtime-gap-matrix.html","docs/backend-admin-runtime-gap-matrix.html","OK"
"docs/backend-admin-readiness-map.html","backend-code-evidence-map.html","docs/backend-code-evidence-map.html","OK"
"docs/backend-admin-readiness-map.html","confideline-admin-route-evidence-map.html","docs/confideline-admin-route-evidence-map.html","OK"
"docs/backend-admin-readiness-map.html","../assets/panel-ux.js","assets/panel-ux.js","OK"
"docs/backend-admin-runtime-gap-matrix.html","../style.css","style.css","OK"
"docs/backend-admin-runtime-gap-matrix.html","../index.html","index.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","backend-code-evidence-map.html","docs/backend-code-evidence-map.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","confideline-admin-route-evidence-map.html","docs/confideline-admin-route-evidence-map.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","backend-admin-runtime-gap-matrix.html","docs/backend-admin-runtime-gap-matrix.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","test-order-runtime-cockpit.html","docs/test-order-runtime-cockpit.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","igor-gate-red-conditions-handoff.html","docs/igor-gate-red-conditions-handoff.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","igor-test-order-acceptance-contract.html","docs/igor-test-order-acceptance-contract.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","igor-test-order-acceptance-contract.html","docs/igor-test-order-acceptance-contract.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","igor-test-order-acceptance-contract.html","docs/igor-test-order-acceptance-contract.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","igor-test-order-acceptance-contract.html","docs/igor-test-order-acceptance-contract.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","artifacts/BACKEND_ADMIN_RUNTIME_GAP_MATRIX_2026_06_05.csv","docs/artifacts/BACKEND_ADMIN_RUNTIME_GAP_MATRIX_2026_06_05.csv","OK"
"docs/backend-admin-runtime-gap-matrix.html","backend-code-evidence-map.html","docs/backend-code-evidence-map.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","confideline-admin-route-evidence-map.html","docs/confideline-admin-route-evidence-map.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","igor-gate-red-conditions-handoff.html","docs/igor-gate-red-conditions-handoff.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","test-order-runtime-public-report-shell.html","docs/test-order-runtime-public-report-shell.html","OK"
"docs/backend-admin-runtime-gap-matrix.html","support-problem-acceptance-matrix.html","docs/support-problem-acceptance-matrix.html","OK"
