area;type;access;http;card;list;labels;place;name;url;cardUrl
"email / уведомления";"другое";"доступ не проверен";"";"Разобраться как работает система email-рассылки (из реестра)";"Архив (Выполнено)";"";"описание";"";"https://prnt.sc/K91Dky43u3Qe";"https://trello.com/c/EkF3EKYk/134-%D1%80%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%D1%81%D1%8F-%D0%BA%D0%B0%D0%BA-%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0%D0%B5%D1%82-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0-email-%D1%80%D0%B0%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8-%D0%B8%D0%B7-%D1%80%D0%B5%D0%B5%D1%81%D1%82%D1%80%D0%B0"
"документы / legal";"другое";"доступ не проверен";"";"Перепроверить политики и тд";"Архив (Выполнено)";"";"описание";"";"https://usemybridge.com/";"https://trello.com/c/IJpuYbJg/135-%D0%BF%D0%B5%D1%80%D0%B5%D0%BF%D1%80%D0%BE%D0%B2%D0%B5%D1%80%D0%B8%D1%82%D1%8C-%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B8-%D0%B8-%D1%82%D0%B4"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Сформировать ТЗ для дизайнера по недостающим страницам S";"Архив (Выполнено)";"";"вложение";"https://trello.com/c/G11mfR6V/123-%D1%80%D0%B5%D0%B2%D0%B8%D0%B7%D0%B8%D1%8F-%D0%B2%D1%81%D0%B5%D1%85-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-%D1%8E%D0%B4%D0%B5%D0%B9%D1%82-%D0%B4%D0%BB%D1%8F-%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B0-s";"https://trello.com/c/G11mfR6V/123-%D1%80%D0%B5%D0%B2%D0%B8%D0%B7%D0%B8%D1%8F-%D0%B2%D1%81%D0%B5%D1%85-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-%D1%8E%D0%B4%D0%B5%D0%B9%D1%82-%D0%B4%D0%BB%D1%8F-%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D0%B0-s";"https://trello.com/c/yPVWOJSF/137-%D1%81%D1%84%D0%BE%D1%80%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D1%82%D0%B7-%D0%B4%D0%BB%D1%8F-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80%D0%B0-%D0%BF%D0%BE-%D0%BD%D0%B5%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D1%8E%D1%89%D0%B8%D0%BC-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0%D0%BC-s"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Макеты недостающих страниц S";"Архив (Выполнено)";"";"вложение";"Макет S- 4.png";"https://trello.com/1/cards/67ed1b30c7b23da7d4f94265/attachments/68528313cd10c69379f3ca4d/download/%D0%9C%D0%B0%D0%BA%D0%B5%D1%82_S-_4.png";"https://trello.com/c/XZQMssaM/93-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%BD%D0%B5%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D1%8E%D1%89%D0%B8%D1%85-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-s"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Макеты недостающих страниц S";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/67ed1b30c7b23da7d4f94265/attachments/6862cec220571a8f6dd8a9e9/download/image.png";"https://trello.com/c/XZQMssaM/93-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%BD%D0%B5%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D1%8E%D1%89%D0%B8%D1%85-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-s"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Макеты недостающих страниц S";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/67ed1b30c7b23da7d4f94265/attachments/6862ceca8bf9ab4899a162e1/download/image.png";"https://trello.com/c/XZQMssaM/93-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%BD%D0%B5%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D1%8E%D1%89%D0%B8%D1%85-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-s"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Макеты недостающих страниц S";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/67ed1b30c7b23da7d4f94265/attachments/6862ced6c79c3ee48c3d5553/download/image.png";"https://trello.com/c/XZQMssaM/93-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%BD%D0%B5%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D1%8E%D1%89%D0%B8%D1%85-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-s"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Макеты недостающих страниц S";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/67ed1b30c7b23da7d4f94265/attachments/6862cee8e53e05cec95da80f/download/image.png";"https://trello.com/c/XZQMssaM/93-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%BD%D0%B5%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D1%8E%D1%89%D0%B8%D1%85-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-s"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Макеты недостающих страниц S";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/67ed1b30c7b23da7d4f94265/attachments/6862cef090962bc542a319dd/download/image.png";"https://trello.com/c/XZQMssaM/93-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%BD%D0%B5%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D1%8E%D1%89%D0%B8%D1%85-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-s"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Макеты недостающих страниц S";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/67ed1b30c7b23da7d4f94265/attachments/6862cef7dea51d0ef5304747/download/image.png";"https://trello.com/c/XZQMssaM/93-%D0%BC%D0%B0%D0%BA%D0%B5%D1%82%D1%8B-%D0%BD%D0%B5%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D1%8E%D1%89%D0%B8%D1%85-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-s"
"чат / коммуникации";"другое";"доступ не проверен";"";"Регистрация на сайтах типа небулы";"Архив (Выполнено)";"";"описание";"";"https://ezochat.com/psychic-register";"https://trello.com/c/sDaz0HWN/140-%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D1%8F-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B0%D1%85-%D1%82%D0%B8%D0%BF%D0%B0-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D1%8B"
"чат / коммуникации";"другое";"доступ не проверен";"";"Регистрация на сайтах типа небулы";"Архив (Выполнено)";"";"описание";"";"https://astro7.su";"https://trello.com/c/sDaz0HWN/140-%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D1%8F-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B0%D1%85-%D1%82%D0%B8%D0%BF%D0%B0-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D1%8B"
"чат / коммуникации";"другое";"доступ не проверен";"";"Регистрация на сайтах типа небулы";"Архив (Выполнено)";"";"описание";"";"https://astro7.su/";"https://trello.com/c/sDaz0HWN/140-%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D1%8F-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B0%D1%85-%D1%82%D0%B8%D0%BF%D0%B0-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D1%8B"
"чат / коммуникации";"другое";"доступ не проверен";"";"Регистрация на сайтах типа небулы";"Архив (Выполнено)";"";"описание";"";"https://lunaro.ru/ekspertam";"https://trello.com/c/sDaz0HWN/140-%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D1%8F-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B0%D1%85-%D1%82%D0%B8%D0%BF%D0%B0-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D1%8B"
"чат / коммуникации";"другое";"доступ не проверен";"";"Регистрация на сайтах типа небулы";"Архив (Выполнено)";"";"описание";"";"https://Astrology.com";"https://trello.com/c/sDaz0HWN/140-%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D1%8F-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B0%D1%85-%D1%82%D0%B8%D0%BF%D0%B0-%D0%BD%D0%B5%D0%B1%D1%83%D0%BB%D1%8B"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Готовый предложенный стикерпак";"Архив (Выполнено)";"";"вложение";"image_2025-07-31_14-38-28.png";"https://trello.com/1/cards/688b55d18339bbfadfb3cfeb/attachments/688b564ae9af07a622bbe1a1/download/image_2025-07-31_14-38-28.png";"https://trello.com/c/2gmwj5dL/144-%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D1%8B%D0%B9-%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%81%D1%82%D0%B8%D0%BA%D0%B5%D1%80%D0%BF%D0%B0%D0%BA"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"Готовый предложенный стикерпак";"Архив (Выполнено)";"";"вложение";"Стикеры.zip";"https://trello.com/1/cards/688b55d18339bbfadfb3cfeb/attachments/68acd211d36a5382fbfa9358/download/%D0%A1%D1%82%D0%B8%D0%BA%D0%B5%D1%80%D1%8B.zip";"https://trello.com/c/2gmwj5dL/144-%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D1%8B%D0%B9-%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%81%D1%82%D0%B8%D0%BA%D0%B5%D1%80%D0%BF%D0%B0%D0%BA"
"дизайн / frontend";"таблица Google";"открывается";"200";"Окончательное ТЗ по чат боту!";"Архив (Выполнено)";"";"описание";"";"https://docs.google.com/spreadsheets/d/1_RgP4ntifEIN0dO2OhTjq-Zpoq9s-gTB/edit?usp=sharing&ouid=117865673662155780117&rtpof=true&sd=true";"https://trello.com/c/jhP7Mbpg/147-%D0%BE%D0%BA%D0%BE%D0%BD%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D1%83"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Окончательное ТЗ по чат боту!";"Архив (Выполнено)";"";"описание";"";"https://trello.com/c/GTEID3Q7/101-%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D1%82%D0%B8%D0%BF-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%B0-s-%D1%82%D0%B7-%D0%BF%D0%BE-%D0%B4%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BA%D0%B0%D0%BC";"https://trello.com/c/jhP7Mbpg/147-%D0%BE%D0%BA%D0%BE%D0%BD%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5-%D1%82%D0%B7-%D0%BF%D0%BE-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D1%83"
"общий источник";"другое";"доступ не проверен";"";"Запустить регистрацию на сайтах знакомств в режиме агента";"Архив (Выполнено)";"";"описание";"";"https://www.pof.com/";"https://trello.com/c/Ibq7eWBK/152-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%B8%D1%82%D1%8C-%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D1%8E-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B0%D1%85-%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%BC%D1%81%D1%82%D0%B2-%D0%B2-%D1%80%D0%B5%D0%B6%D0%B8%D0%BC%D0%B5-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D0%B0"
"общий источник";"другое";"доступ не проверен";"";"Запустить регистрацию на сайтах знакомств в режиме агента";"Архив (Выполнено)";"";"описание";"";"https://internationalcupid.com/";"https://trello.com/c/Ibq7eWBK/152-%D0%B7%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%B8%D1%82%D1%8C-%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D1%8E-%D0%BD%D0%B0-%D1%81%D0%B0%D0%B9%D1%82%D0%B0%D1%85-%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%BC%D1%81%D1%82%D0%B2-%D0%B2-%D1%80%D0%B5%D0%B6%D0%B8%D0%BC%D0%B5-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D0%B0"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Дизайн и функционал сторисов.";"Архив (Выполнено)";"";"описание";"";"https://trello.com/1/cards/685a552eb07a4a0dec7837fe/attachments/685a558ef46c7b5d24b54bfe/download/image_2025-06-19_16-05-18.png";"https://trello.com/c/0KaDDgWe/130-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD-%D0%B8-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB-%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Дизайн и функционал сторисов.";"Архив (Выполнено)";"";"описание";"";"https://trello.com/1/cards/685a552eb07a4a0dec7837fe/attachments/685a5585291156639620df81/download/image_2025-06-19_16-05-47.png";"https://trello.com/c/0KaDDgWe/130-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD-%D0%B8-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB-%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Дизайн и функционал сторисов.";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/685a552eb07a4a0dec7837fe/attachments/68acd244d0f3421b6d20904b/download/image.png";"https://trello.com/c/0KaDDgWe/130-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD-%D0%B8-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB-%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Дизайн и функционал сторисов.";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/685a552eb07a4a0dec7837fe/attachments/68bf2c9f09260421add3f2a2/download/image.png";"https://trello.com/c/0KaDDgWe/130-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD-%D0%B8-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB-%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Дизайн и функционал сторисов.";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/685a552eb07a4a0dec7837fe/attachments/68bf2cad0b5de206ff6da379/download/image.png";"https://trello.com/c/0KaDDgWe/130-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD-%D0%B8-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB-%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Дизайн и функционал сторисов.";"Архив (Выполнено)";"";"вложение";"image.png";"https://trello.com/1/cards/685a552eb07a4a0dec7837fe/attachments/68c88173e0f79c47d68978c1/download/image.png";"https://trello.com/c/0KaDDgWe/130-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD-%D0%B8-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB-%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2"
"общий источник";"другое";"доступ не проверен";"";"Регистрация на JapanCupid.com с Румынии";"Архив (Выполнено)";"";"описание";"";"http://JapanCupid.com";"https://trello.com/c/5m8rJJNp/164-%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D1%8F-%D0%BD%D0%B0-japancupidcom-%D1%81-%D1%80%D1%83%D0%BC%D1%8B%D0%BD%D0%B8%D0%B8"
"общий источник";"Trello-связь";"внутренняя Trello-связь";"";"ИИ для псевдо KYC";"Архив (Выполнено)";"";"вложение";"Инстркция_по_АИ_ассистенту_Gemini_nano_banana.docx";"https://trello.com/1/cards/68ee0b5ff48c1a1d2c3c86f4/attachments/68f6849578080d477e8e51bc/download/%D0%98%D0%BD%D1%81%D1%82%D1%80%D0%BA%D1%86%D0%B8%D1%8F_%D0%BF%D0%BE_%D0%90%D0%98_%D0%B0%D1%81%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BD%D1%82%D1%83_Gemini_nano_banana.docx";"https://trello.com/c/2HfUQVZU/177-%D0%B8%D0%B8-%D0%B4%D0%BB%D1%8F-%D0%BF%D1%81%D0%B5%D0%B2%D0%B4%D0%BE-kyc"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ чат продвинутая версия";"Не актуально";"";"описание";"";"https://trello.com/1/cards/69a6a6184309037da1b92370/attachments/69ad4630290f46758ded742e/download/home.html";"https://trello.com/c/Jq50a4t8/256-%D1%82%D0%B7-%D1%87%D0%B0%D1%82-%D0%BF%D1%80%D0%BE%D0%B4%D0%B2%D0%B8%D0%BD%D1%83%D1%82%D0%B0%D1%8F-%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%8F"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ чат продвинутая версия";"Не актуально";"";"вложение";"admin-chat.zip";"https://trello.com/1/cards/69a6a6184309037da1b92370/attachments/69ac42b6e655a0ba2a5cdcc8/download/admin-chat.zip";"https://trello.com/c/Jq50a4t8/256-%D1%82%D0%B7-%D1%87%D0%B0%D1%82-%D0%BF%D1%80%D0%BE%D0%B4%D0%B2%D0%B8%D0%BD%D1%83%D1%82%D0%B0%D1%8F-%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%8F"
"чат / коммуникации";"GitHub";"доступ не проверен";"";"Развернуть чат боты";"Полка (Когда-нибудь)";"";"описание";"";"https://github.com/Synthintel0/MyGirlGPT";"https://trello.com/c/0GdHnH4S/20-%D1%80%D0%B0%D0%B7%D0%B2%D0%B5%D1%80%D0%BD%D1%83%D1%82%D1%8C-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D1%8B"
"чат / коммуникации";"GitHub";"доступ не проверен";"";"Развернуть чат боты";"Полка (Когда-нибудь)";"";"описание";"";"https://github.com/immarklitvinov/telegram_dating_bot";"https://trello.com/c/0GdHnH4S/20-%D1%80%D0%B0%D0%B7%D0%B2%D0%B5%D1%80%D0%BD%D1%83%D1%82%D1%8C-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D1%8B"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Развернуть чат боты";"Полка (Когда-нибудь)";"";"вложение";"image.png";"https://trello.com/1/cards/66c48131fc327cbe148d521c/attachments/67ed1244769a4a6d79ef5a7f/download/image.png";"https://trello.com/c/0GdHnH4S/20-%D1%80%D0%B0%D0%B7%D0%B2%D0%B5%D1%80%D0%BD%D1%83%D1%82%D1%8C-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D1%8B"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"Прототип чат-бота S, ТЗ по доработкам";"Полка (Когда-нибудь)";"";"вложение";"image.png";"https://trello.com/1/cards/67ed1c8c0023f4b22ba7e8b7/attachments/680f7e5e4844f0e80bb26b31/download/image.png";"https://trello.com/c/GTEID3Q7/101-%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D1%82%D0%B8%D0%BF-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%B0-s-%D1%82%D0%B7-%D0%BF%D0%BE-%D0%B4%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BA%D0%B0%D0%BC"
"чат / коммуникации";"Trello-связь";"внутренняя Trello-связь";"";"ТЗ чат-бота по S (финал)";"Полка (Когда-нибудь)";"";"вложение";"image.png";"https://trello.com/1/cards/6815f0d3310561f6b4792520/attachments/6838080d77420b5f381ebfbf/download/image.png";"https://trello.com/c/DGaGZWpm/107-%D1%82%D0%B7-%D1%87%D0%B0%D1%82-%D0%B1%D0%BE%D1%82%D0%B0-%D0%BF%D0%BE-s-%D1%84%D0%B8%D0%BD%D0%B0%D0%BB"
"дизайн / frontend";"дизайн / Figma";"открывается";"200";"Заверстать лендинг S";"Полка (Когда-нибудь)";"";"описание";"";"https://www.figma.com/design/RwxYQBLDns7T9X3bnVmVBl/YouDate?node-id=0-1&p=f&t=jsRJURyopBY1mJc7-0";"https://trello.com/c/qWEPb34Z/157-%D0%B7%D0%B0%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D1%82%D1%8C-%D0%BB%D0%B5%D0%BD%D0%B4%D0%B8%D0%BD%D0%B3-s"
"обучение / эксперты";"другое";"доступ не проверен";"";"Квис-гороскоп + спецпредложение";"Полка (Когда-нибудь)";"";"описание";"";"https://asknebula.com/charts/life-path-calculator";"https://trello.com/c/yBeq6u8C/249-%D0%BA%D0%B2%D0%B8%D1%81-%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF-%D1%81%D0%BF%D0%B5%D1%86%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"
"обучение / эксперты";"Trello-связь";"внутренняя Trello-связь";"";"Квис-гороскоп + спецпредложение";"Полка (Когда-нибудь)";"";"вложение";"NEBULA.pdf";"https://trello.com/1/cards/6989d2ef90a8dc4140ddff7c/attachments/6989d2fac688155b75a35017/download/NEBULA.pdf";"https://trello.com/c/yBeq6u8C/249-%D0%BA%D0%B2%D0%B8%D1%81-%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF-%D1%81%D0%BF%D0%B5%D1%86%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Отчет за март";"План на март";"";"описание";"";"https://trello.com/c/5cU9gpqd/251-%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA-%D0%B2-%D1%87%D0%B0%D1%82%D0%B5-%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82";"https://trello.com/c/487cU0ZP/269-%D0%BE%D1%82%D1%87%D0%B5%D1%82-%D0%B7%D0%B0-%D0%BC%D0%B0%D1%80%D1%82"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Отчет за март";"План на март";"";"описание";"";"https://trello.com/c/eA0PyGKc/260-%D1%82%D0%B7-%D0%BF%D0%BE-%D0%BC%D0%B5%D1%85%D0%B0%D0%BD%D0%B8%D0%BA%D0%B0-%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8F-%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B5%D0%B3%D0%BE-%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%B2";"https://trello.com/c/487cU0ZP/269-%D0%BE%D1%82%D1%87%D0%B5%D1%82-%D0%B7%D0%B0-%D0%BC%D0%B0%D1%80%D1%82"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Отчет за март";"План на март";"";"описание";"";"https://trello.com/c/vg9MhRVz/253-%D0%BE%D0%BF%D0%B8%D1%81%D0%B0%D0%BD%D0%B8%D0%B5-%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D0%B0-%D0%BF%D0%BE-%D0%BF%D1%80%D0%BE%D0%B5%D0%BA%D1%82%D1%83-nebula-pbexpertpro";"https://trello.com/c/487cU0ZP/269-%D0%BE%D1%82%D1%87%D0%B5%D1%82-%D0%B7%D0%B0-%D0%BC%D0%B0%D1%80%D1%82"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Отчет за март";"План на март";"";"описание";"";"https://trello.com/c/uLoe5Euq/254-%D0%BF%D1%80%D0%BE%D0%B1%D0%BD%D0%B0%D1%8F-%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%BA%D0%B0-%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86-nebula";"https://trello.com/c/487cU0ZP/269-%D0%BE%D1%82%D1%87%D0%B5%D1%82-%D0%B7%D0%B0-%D0%BC%D0%B0%D1%80%D1%82"
"дизайн / frontend";"Trello-связь";"внутренняя Trello-связь";"";"Отчет за март";"План на март";"";"описание";"";"https://trello.com/c/YK8WzA8i/257-%D1%82%D0%B7-%D1%80%D0%B5%D0%B3%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%86%D0%B8%D0%B8-%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%B0";"https://trello.com/c/487cU0ZP/269-%D0%BE%D1%82%D1%87%D0%B5%D1%82-%D0%B7%D0%B0-%D0%BC%D0%B0%D1%80%D1%82"
